,session,time,time,scenario,duration
,first,min,max,first,
session,,,,,
1550247573159-0.3doqu67egff,1550247573159-0.3doqu67egff,1550247573159,1550247674128,superposed-animated,100.969
1550248720883-0.hfivc1inmt5,1550248720883-0.hfivc1inmt5,1550248720883,1550248820882,juxtaposed-static,99.999
1550248825352-0.d79e316euvq,1550248825352-0.d79e316euvq,1550248825352,1550248965350,juxtaposed-static,139.998
1550248984652-0.hpuo2wuwnpg,1550248984652-0.hpuo2wuwnpg,1550248984652,1550249024653,juxtaposed-static,40.001
1550249028304-0.jh8r2ag2h6o,1550249028304-0.jh8r2ag2h6o,1550249028304,1550249050275,juxtaposed-static,21.971
1550264460873-0.lz0rd7il80o,1550264460873-0.lz0rd7il80o,1550264460874,1550264862975,juxtaposed-animated,402.101
1550264877110-0.i24vjx6i1ro,1550264877110-0.i24vjx6i1ro,1550264877110,1550264917126,juxtaposed-animated,40.016
1550264933322-0.oizst3xkzmo,1550264933322-0.oizst3xkzmo,1550264933322,1550265213437,juxtaposed-animated,280.115
1550265274675-0.qckwt4rtpr,1550265274675-0.qckwt4rtpr,1550265274675,1550265414700,juxtaposed-animated,140.025
1550265777280-0.ya1zq7dy90r,1550265777280-0.ya1zq7dy90r,1550265777280,1550265918158,juxtaposed-animated,140.878
1550515898044-0.kdjn7qly3q,1550515898044-0.kdjn7qly3q,1550515898044,1550515918046,superposed-static,20.002
1550515924044-0.6jquujdrnm7,1550515924044-0.6jquujdrnm7,1550515924044,1550515927758,superposed-static,3.714
1550515933497-0.pw5tcgvl55l,1550515933497-0.pw5tcgvl55l,1550515933497,1550515938173,superposed-static,4.676
1550515943734-0.pz9as6m6lt,1550515943734-0.pz9as6m6lt,1550515943734,1550515945858,superposed-static,2.124
1550515952436-0.1a96yqpm7bz,1550515952436-0.1a96yqpm7bz,1550515952437,1550516053172,superposed-static,100.735
1550516106123-0.x114cigopk,1550516106123-0.x114cigopk,1550516106123,1550516107573,superposed-static,1.45
1550516115215-0.uob60mx3ftl,1550516115215-0.uob60mx3ftl,1550516115216,1550516115219,superposed-static,0.003
1550516127450-0.swqfxhpnkzh,1550516127450-0.swqfxhpnkzh,1550516127450,1550516136888,superposed-static,9.438
1550516147178-0.ni3ijna7rhc,1550516147178-0.ni3ijna7rhc,1550516147178,1550516247604,superposed-static,100.426
1550516153700-0.pfhpuev670h,1550516153700-0.pfhpuev670h,1550516153701,1550516334963,superposed-static,181.262
1550572077858-0.rahqnuts569,1550572077858-0.rahqnuts569,1550572077858,1550572204294,superposed-animated,126.436
1550572213878-0.fc5osvb7mg7,1550572213878-0.fc5osvb7mg7,1550572213879,1550572233884,superposed-animated,20.005
1550579654685-0.p6uisi4ae9n,1550579654685-0.p6uisi4ae9n,1550579654686,1550579754698,juxtaposed-animated,100.012
1550579676249-0.cffax86sm8f,1550579676249-0.cffax86sm8f,1550579676249,1550579690747,juxtaposed-animated,14.498
1550579694356-0.js751b7lf9f,1550579694356-0.js751b7lf9f,1550579694356,1550579774360,juxtaposed-animated,80.004
1550579780272-0.at7ztoim5oq,1550579780272-0.at7ztoim5oq,1550579780272,1550579789786,juxtaposed-animated,9.514
1550579796764-0.2ftknj4huym,1550579796764-0.2ftknj4huym,1550579796765,1550579816766,juxtaposed-animated,20.001
1550579822363-0.o0hugpt9fxn,1550579822363-0.o0hugpt9fxn,1550579822363,1550579922396,juxtaposed-animated,100.033
1550579829913-0.geud6t88m5g,1550579829913-0.geud6t88m5g,1550579829913,1550579839915,juxtaposed-animated,10.002
1550579850298-0.bk78iheeno,1550579850298-0.bk78iheeno,1550579850299,1550579990314,juxtaposed-animated,140.015
1550579908210-0.v4edgqzgzt,1550579908210-0.v4edgqzgzt,1550579908210,1550579948245,juxtaposed-animated,40.035
1550579995269-0.sshav770nt,1550579995269-0.sshav770nt,1550579995269,1550580018081,juxtaposed-animated,22.812
1550580031529-0.qzj2nowocms,1550580031529-0.qzj2nowocms,1550580031529,1550580051533,juxtaposed-animated,20.004
1550580059630-0.0hah29ukn0w,1550580059630-0.0hah29ukn0w,1550580059630,1550580068450,juxtaposed-animated,8.82
1550580092245-0.9w3epzjyguq,1550580092245-0.9w3epzjyguq,1550580092245,1550580098680,juxtaposed-animated,6.435
1550580119648-0.e58bbwv7nw,1550580119648-0.e58bbwv7nw,1550580119648,1550580134600,juxtaposed-animated,14.952
1550580648199-0.wpy1qwu3zj,1550580648199-0.wpy1qwu3zj,1550580648199,1550580668201,juxtaposed-animated,20.002
1550580657480-0.8bzojbn8rv2,1550580657480-0.8bzojbn8rv2,1550580657480,1550580677493,juxtaposed-animated,20.013
1550580688295-0.3eoq5xh77xr,1550580688295-0.3eoq5xh77xr,1550580688296,1550580708303,juxtaposed-animated,20.007
1550580712799-0.t57a9cxzyio,1550580712799-0.t57a9cxzyio,1550580712799,1550580716688,juxtaposed-animated,3.889
1550580720751-0.bdjitasxslk,1550580720751-0.bdjitasxslk,1550580720751,1550580920980,juxtaposed-animated,200.229
1550580961755-0.kb4m2snlp0l,1550580961755-0.kb4m2snlp0l,1550580961755,1550580981761,juxtaposed-animated,20.006
