session,session,time,scenario
1549549961172-0.ajf8wyzcnhs,1549549961172-0.ajf8wyzcnhs,2019-02-07 14:32:41.172,superposed-animated
1549549964693-0.qqqziojz324,1549549964693-0.qqqziojz324,2019-02-07 14:32:44.693,superposed-animated
1549549980314-0.2yraedycqwi,1549549980314-0.2yraedycqwi,2019-02-07 14:33:00.314,juxtaposed-animated
1549550007374-0.bxn4m533q5v,1549550007374-0.bxn4m533q5v,2019-02-07 14:33:27.374,juxtaposed-animated
1549550060121-0.bj85c9gosx,1549550060121-0.bj85c9gosx,2019-02-07 14:34:20.121,juxtaposed-animated
1549550087623-0.vr232vzf168,1549550087623-0.vr232vzf168,2019-02-07 14:34:47.623,juxtaposed-animated
1549550105543-0.i0xa4n1kqot,1549550105543-0.i0xa4n1kqot,2019-02-07 14:35:05.543,superposed-animated
1549838475336-0.rdaweq30mk,1549838475336-0.rdaweq30mk,2019-02-10 22:41:15.336,juxtaposed-animated
1549838491091-0.gzqyh5o0mn6,1549838491091-0.gzqyh5o0mn6,2019-02-10 22:41:31.091,superposed-animated
1549976069236-0.80rvwyfhtkb,1549976069236-0.80rvwyfhtkb,2019-02-12 12:54:29.236,juxtaposed-animated
1549984548917-0.rwf0vzs5za,1549984548917-0.rwf0vzs5za,2019-02-12 15:15:48.918,superposed-animated
1549984581006-0.oboww77cozb,1549984581006-0.oboww77cozb,2019-02-12 15:16:21.006,superposed-animated
1549984600833-0.bg47sefsasp,1549984600833-0.bg47sefsasp,2019-02-12 15:16:40.833,superposed-animated
1549984621996-0.9xjmsaz4gvc,1549984621996-0.9xjmsaz4gvc,2019-02-12 15:17:01.996,juxtaposed-animated
1550172236692-0.p215uu73sf8,1550172236692-0.p215uu73sf8,2019-02-14 19:23:56.692,superposed-static
1550176695130-0.n5jnr01oz5t,1550176695130-0.n5jnr01oz5t,2019-02-14 20:38:15.130,superposed-static
1550176727433-0.yc0q7kghsp,1550176727433-0.yc0q7kghsp,2019-02-14 20:38:47.433,superposed-static
1550176734701-0.x4qkl2p6rk8,1550176734701-0.x4qkl2p6rk8,2019-02-14 20:38:54.701,superposed-static
1550177595759-0.0h209r3obdlp,1550177595759-0.0h209r3obdlp,2019-02-14 20:53:15.759,juxtaposed-static
1550177622421-0.9j0z5c9io,1550177622421-0.9j0z5c9io,2019-02-14 20:53:42.421,juxtaposed-static
1550246996368-0.jirf5l7yqnh,1550246996368-0.jirf5l7yqnh,2019-02-15 16:09:56.368,superposed-animated
1550247247510-0.34j71ny6n7h,1550247247510-0.34j71ny6n7h,2019-02-15 16:14:07.510,superposed-animated
1550247385573-0.itj7bgxptoo,1550247385573-0.itj7bgxptoo,2019-02-15 16:16:25.574,superposed-animated
1550247468441-0.85qs18bpqfo,1550247468441-0.85qs18bpqfo,2019-02-15 16:17:48.441,superposed-animated
1550247573159-0.3doqu67egff,1550247573159-0.3doqu67egff,2019-02-15 16:19:33.159,superposed-animated
1550248720883-0.hfivc1inmt5,1550248720883-0.hfivc1inmt5,2019-02-15 16:38:40.883,juxtaposed-static
1550248825352-0.d79e316euvq,1550248825352-0.d79e316euvq,2019-02-15 16:40:25.352,juxtaposed-static
1550248984652-0.hpuo2wuwnpg,1550248984652-0.hpuo2wuwnpg,2019-02-15 16:43:04.652,juxtaposed-static
1550249028304-0.jh8r2ag2h6o,1550249028304-0.jh8r2ag2h6o,2019-02-15 16:43:48.304,juxtaposed-static
1550249052999-0.1v90dzxbtvt,1550249052999-0.1v90dzxbtvt,2019-02-15 16:44:12.999,juxtaposed-static
1550249068008-0.zrp56yz9ww,1550249068008-0.zrp56yz9ww,2019-02-15 16:44:28.009,juxtaposed-static
1550263934689-0.7obv5pval0g,1550263934689-0.7obv5pval0g,2019-02-15 20:52:14.689,superposed-animated
1550264460873-0.lz0rd7il80o,1550264460873-0.lz0rd7il80o,2019-02-15 21:01:00.874,juxtaposed-animated
1550264877110-0.i24vjx6i1ro,1550264877110-0.i24vjx6i1ro,2019-02-15 21:07:57.110,juxtaposed-animated
1550264933322-0.oizst3xkzmo,1550264933322-0.oizst3xkzmo,2019-02-15 21:08:53.322,juxtaposed-animated
1550265274675-0.qckwt4rtpr,1550265274675-0.qckwt4rtpr,2019-02-15 21:14:34.675,juxtaposed-animated
1550265777280-0.ya1zq7dy90r,1550265777280-0.ya1zq7dy90r,2019-02-15 21:22:57.280,juxtaposed-animated
