,time,user,session,userAgent,screenWidth,screenHeight,windowWidth,windowHeight,resolution,graph,position,scenario,story,globalPosition,minTime,timeDelta
33555,1550579928278,1550579908209-0.c8yw3b9csd8,1550579908210-0.v4edgqzgzt,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",375,667,980,551,2.0,gender,0.06735294117647059,juxtaposed-animated,demographics,0.06735294117647059,1550579909786,18.492
33556,1550579928286,1550579908209-0.c8yw3b9csd8,1550579908210-0.v4edgqzgzt,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",375,667,980,551,2.0,empty-demographics,0.4907142857142857,juxtaposed-animated,demographics,,1550579909786,18.5
33557,1550579928289,1550579908209-0.c8yw3b9csd8,1550579908210-0.v4edgqzgzt,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",375,667,980,551,2.0,move-highlight,0.7175,juxtaposed-animated,demographics,,1550579909786,18.503
33558,1550579928301,1550579908209-0.c8yw3b9csd8,1550579908210-0.v4edgqzgzt,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",375,667,980,551,2.0,gender,0.06754901960784314,juxtaposed-animated,demographics,0.06754901960784314,1550579909786,18.515
33559,1550579928306,1550579908209-0.c8yw3b9csd8,1550579908210-0.v4edgqzgzt,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",375,667,980,551,2.0,empty-demographics,0.4921428571428572,juxtaposed-animated,demographics,,1550579909786,18.52
33560,1550579928308,1550579908209-0.c8yw3b9csd8,1550579908210-0.v4edgqzgzt,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",375,667,980,551,2.0,move-highlight,0.7225,juxtaposed-animated,demographics,,1550579909786,18.522
33561,1550579928317,1550579908209-0.c8yw3b9csd8,1550579908210-0.v4edgqzgzt,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",375,667,980,551,2.0,gender,0.06774509803921569,juxtaposed-animated,demographics,0.06774509803921569,1550579909786,18.531
33562,1550579928321,1550579908209-0.c8yw3b9csd8,1550579908210-0.v4edgqzgzt,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",375,667,980,551,2.0,empty-demographics,0.4935714285714286,juxtaposed-animated,demographics,,1550579909786,18.535
33563,1550579928325,1550579908209-0.c8yw3b9csd8,1550579908210-0.v4edgqzgzt,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",375,667,980,551,2.0,move-highlight,0.7275,juxtaposed-animated,demographics,,1550579909786,18.539
33564,1550579928334,1550579908209-0.c8yw3b9csd8,1550579908210-0.v4edgqzgzt,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0 Mobile/15E148 Safari/604.1",375,667,980,551,2.0,gender,0.06784313725490196,juxtaposed-animated,demographics,0.06784313725490196,1550579909786,18.548
